,Context,Target,Prompt,Avg,Std,Reponses,Euphemism?
0,"A: Oh, yes. Animals have a way of talking. B: Alfie did. I tell you if I could have gotten a hold of that cat that day. A:","I don't know uh, that I'd trade my dog in for the world.",he would trade his dog in for the world,-2.125,1.0532687216470449,"-3, -2, -2, -3, -3, -3, 0, -1",Yes
1,"A: but at the same time I think it would do them a world of good. B: Yeah. A: But there's a, B:","I don't know that you could require everyone yeah, to do it for a whole year, or two years or something like that,",speaker A could require everyone to do it for a whole year,-2.0,0.0,"-2, -2, -2, -2, -2, -2, -2, -2",Yes
2,"B: it's just a great cat, but. A: Well, my personal preference is a dog.","Uh, I don't know uh, that I would ever want a cat.",he would want a cat,-2.0,0.7071067811865476,"-2, -3, -2, -2, -1, -2, -1, -3",Yes
3,"B: I think I've been trout fishing once. I've never fly fished. Have you fly fished? A: Uh, no I haven't.",I don't know that I could do that.,she could do that,-1.888888889,1.0999438818457405,"-3, -1, -2, -1, -1, -3, -3, -3, 0",Yes
4,"A: Okay. So Frank, what, uh, type of, uh, budget do you or your family have? B:","Well, uh I don't know that we really have a budget.",he and his family really have a budget,-1.818181818,0.9359663764533636,"-3, -1, 0, -1, -2, -2, -3, -2, -2, -3, -1",Yes
5,"B: Anyway, I dealt with two or three kids today that are going to end up where somebody making a decision what to do with them. A: Um, yeah, I guess that's not an easy solution. there's no easy solution for that. B: Uh-huh. ","I don't know that there is an easy solution,",there is an easy solution,-1.777777778,1.1331154474650633,"-2, -1, 0, -2, 0, -2, -3, -3, -3",Yes
6,"A: Is, uh, kind of fun. It's best done when you have leisure time and I had more of that in my childhood days than I have now. And I grew up in an area that, uh, was just a few feet from a rather large lake, and a few more miles from that was a even larger lake and we had a variety of boats at our disposal. Uh, I worked for a camp for a number of years. My father was on staff there, and we had every kind of things from canoes to paddle boats, sailboats, speedboats, you name it, they had it and we did a lot of, water sports. But I think, uh, the thing I liked the best was, uh, we spent about a summer couple of guys, uh, restored an old wooden boat that was built back in the mid-thirties and got a new canvas sail for it and had a real big old four- foot center board that went down in the middle to keep you upright when the waves, or the wind came from the side and we got that thing in the water and had a real good time with it. If you ever got it dumped over, though, it was a mess to get back up. It wasn't like the newer ones that have nice chambers that keep it afloat or keep it, uh, upright again. This one you had to work with. You get out of the water again and get it upright. And, uh, sailing was kind of nice to learn the maneuvers you had to make to work your way down a lake or work back up against the wind, as it were, tacking back and forth and, uh, more than once we'd get out there on a really stormy day and, uh, the storm or the wind was due to the front blowing and as soon as the front came over, it was calm. So you're out in the middle of nowhere with a paddle and you paddle your way back in and hope it doesn't start raining on you right away. And that didn't always work. We oftentimes got wet. But, uh, it's a nice hobby to have. Nowadays I don't think I could afford the boat or the time, nor do we live that close to a lake anymore, so things change, I guess. What are your memories of boating, or current, B: Uh, about the only memories that I have of boating, uh, my husband's family had a motor boat, uh, when we got engaged and they took us out on the lake several times. And, uh, I really did enjoy that.","I don't know that I ever learned to drive it or anything,",she ever learned to drive the motor boat,-1.727272727,1.8630819574471997,"-2, -2, -3, -2, 3, -3, -3, -3, -3, -2, 1",Yes
7,"A: Well, uh, and that's an idea that's been kicked around for a long time.","I don't know that it's ever been seriously considered, uh, as far as close to passing, uh, any legislation or anything like that.",it's ever been seriously considered,-1.666666667,1.1547005383792517,"-2, -2, -1, -3, 0, -1, -3, -3, 0",Yes
8,"B: boy, he's a big one. A: he's pretty big. That's why it really surprises me, you know, that he hasn't come back, because, like I said, he's never gone away like this before, and, I would think, you know, I mean, he might could get hurt by a car or something.",I don't know that he could really get killed that easily because he is so big.,he could really get killed that easily,-1.625,0.8569568250501305,"-2, -2, -1, -3, -2, 0, -2, -1",Yes
9,"A: Do you think the jury should have a dollar figure for losing an arm, a dollar figure for losing different body parts? B: I don't know. You know some of the health insurance is written that way. You know, that, uh, if you buy an accident and death or dismemberment policy, you know, it s-, pre specified in the policy so much","but I don't know that you can necessarily put a value on somebody's limb, uh, arbitrarily that is always going to fit in all cases.",a person can necessarily put a value on somebody's limb,-1.625,0.9921567416492215,"0, -2, -2, -2, 0, -3, -2, -2",Yes
